Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm
vfredusum.vs,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,von,v
vfwredusum.vs,VVVM,x,x,,x,x,,x,emul2,,x,emul2,,,emul2,,,f,f_emul2,fwred,,,x,lmul4max,lmul4max,x,vn,v
vfredmax.vs,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,
vfredmin.vs,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,v,
vmfeq.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,
vmfeq.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vmfne.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,
vmfne.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vmflt.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,
vmflt.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vmfle.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,,,x,,f,f,f,,,x,x,x,x,v,
vmfle.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vmfgt.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vmfge.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,v,
vfmerge.vfm,VVFM,x,x,,x,x,x,x,nv0,,nv0,,x,nv0,,,,f,,,v,x,x,x,x,x,,
vfmv.v.f,VF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,
vfmv.f.s,FV,x,x,,x,x,x,x,,x,x,,,,,,,f,,,,,,x,nomask,x,,
vfmv.s.f,VF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,
vfslide1up.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,,
vfslide1down.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,
vfcvt.xu.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v
vfwcvt.xu.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v
vfncvt.xu.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v
vfcvt.x.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v
vfwcvt.x.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v
vfncvt.x.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v
vfcvt.rtz.xu.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,
vfwcvt.rtz.xu.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,
vfncvt.rtz.xu.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,
vfcvt.rtz.x.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,
vfwcvt.rtz.x.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,
vfncvt.rtz.x.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,
vfcvt.f.xu.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v
vfwcvt.f.xu.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,
vfncvt.f.xu.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v
vfcvt.f.x.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v
vfwcvt.f.x.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,
vfncvt.f.x.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v
vfwcvt.f.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,v,
vfncvt.f.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,v
vfncvt.rod.f.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,
vfclass.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,,
